synset	word	csco
09827683-n	nounat	99.0
09827683-n	nadó	99.0
09827683-n	bebè	99.0
09827683-n	lactant	99.0
07901176-n	mançanilla	99.0
04745679-n	homogeneïtat	99.0
15153225-n	venciment	99.0
04509985-n	Union_Jack	99.0
00984333-a	primmirat	99.0
00984333-a	escrupulós	99.0
00177834-a	amable	99.0
00569898-n	braçada	99.0
00569898-n	remada	99.0
13714376-n	mil·ligrau	99.0
06681177-n	notícies	99.0
05720826-n	cromoestèsia	99.0
01786906-v	encolerir	99.0
01786906-v	irritar	99.0
01786906-v	enfurir	99.0
01786906-v	enfurismar	99.0
02444647-n	lutra	99.0
02444647-n	genus_lutra	99.0
01117723-n	rebaixes	99.0
03762332-n	ferro_número_dos	99.0
02723733-v	tipificar	99.0
02723733-v	il·lustrar	99.0
02723733-v	exemplificar	99.0
02723733-v	demostrar	99.0
03790512-n	motocicleta	99.0
03790512-n	motocicle	99.0
10082043-n	pare_polític	99.0
10082043-n	sogre	99.0
08367339-n	mercantilisme	99.0
11636566-n	ginebre	99.0
80001017-n	contracte_de_compra_per_clic	35.0
02168549-a	lanceolat	99.0
10719692-n	conciutadà	99.0
02552171-n	acantopterigi	99.0
06700169-n	primer	99.0
14352890-n	flebitis	99.0
11028780-n	Oliver_Hardy	99.0
04747899-n	igualtat	99.0
04747899-n	equivalència	99.0
04747899-n	coincidència	99.0
04747899-n	identitat	99.0
00035259-v	dutxar-se	99.0
00035259-v	dutxar	99.0
11276971-n	Eero_Saarinen	99.0
00282020-a	opalí	99.0
00282020-a	iridescent	99.0
02544427-a	dispèptic	99.0
00921300-v	indicar	99.0
06586471-n	enllaç	99.0
01636984-n	aneides	99.0
01636984-n	genus_aneides	99.0
10786517-n	testimoni	99.0
07888909-n	malt	99.0
00881661-v	felicitar	99.0
00881661-v	adular	99.0
00881661-v	llagotejar	99.0
05514410-n	genitals_femenins	99.0
05493758-n	àrea_frontal	99.0
05493758-n	lòbul_frontal	99.0
07852452-n	formatge_danès	99.0
00471196-v	anul·lar	99.0
00471196-v	destruir	99.0
02799323-n	gorra	99.0
01788932-v	irritar	99.0
01788932-v	enfadar	99.0
01788932-v	enutjar	99.0
08997132-n	Freetown	99.0
08997132-n	capital_de_Sierra_Leona	80.0
00094954-n	evangelització	99.0
01389993-a	desmesurat	99.0
00095873-a	difunt	99.0
04936403-n	gruix	99.0
00325502-n	pujada	99.0
10752930-n	vencedor	99.0
04473884-n	transportador	99.0
01428155-n	malacopterigis	99.0
02445356-v	patentar	99.0
14494893-n	sanitat	99.0
14494893-n	higiene	99.0
14008806-n	funcionament	99.0
14008806-n	maneig	99.0
10819755-n	Marc_Aureli	99.0
06627938-n	postal	99.0
00452020-a	inseparable	99.0
01705257-v	citar	99.0
01705257-v	nomenar	99.0
01705257-v	fer_referència	99.0
00373766-v	cauteritzar	99.0
08153337-n	panteó	99.0
08960987-n	Luxemburg	99.0
00527872-n	claqué	99.0
00161225-v	permutar	99.0
00161225-v	bescanviar	99.0
00161225-v	intercanviar	99.0
00161225-v	baratar	99.0
00161225-v	canviar	99.0
09388530-n	Pegasus	99.0
01750598-n	genus_pseudechis	99.0
01750598-n	pseudechis	99.0
00616670-v	estar_atent	99.0
00616670-v	fer_atenció	99.0
00616670-v	posar_atenció	99.0
00546873-v	abaixar	99.0
04105893-n	cambra	99.0
04105893-n	estança	99.0
04105893-n	habitació	99.0
07586894-n	sopa_de_verdures	99.0
00635794-v	engrapar	99.0
12573760-n	genus_tipuana	99.0
12573760-n	tipuana	99.0
07995856-n	colònia	99.0
00243180-a	blanc	99.0
02486932-v	trobar-se	99.0
02486932-v	reunir	99.0
02486932-v	reunir-se	99.0
02434954-n	muntjac	99.0
11395199-n	Mary_Wollstonecraft	99.0
04295081-n	guarnicioneria	99.0
15082382-n	paper_ceba	99.0
05194578-n	força	99.0
10834439-n	Samuel_Barber	99.0
06088995-n	química_orgànica	99.0
07049291-n	The_Star-Spangled_Banner	99.0
01847565-n	anas	99.0
01847565-n	genus_anas	99.0
09820263-n	atleta	99.0
09820263-n	esportista	99.0
14896128-n	colofònia	99.0
12693734-n	callitriche	99.0
12693734-n	genus_callitriche	99.0
08959683-n	Líbia	99.0
10601526-n	sir	99.0
00090718-a	aire-terra	99.0
00165789-v	consolidar	99.0
00548029-a	el·líptic	99.0
14365619-n	hiperpirèxia	99.0
14341432-n	conjuntivitis	99.0
02137172-n	hemigalus	99.0
02137172-n	genus_hemigalus	99.0
03000247-n	cota_de_malla	99.0
01740468-v	produir_en_excés	99.0
00066565-a	arriscat	99.0
11550340-n	gleva	99.0
14618834-n	compost_binari	99.0
02841315-n	prismàtics	99.0
01684899-v	pintar	99.0
02277607-a	especialitzat	99.0
04618581-n	identificació	99.0
02297142-v	oferir-se	99.0
02297142-v	oferir	99.0
09694664-n	bolivià	99.0
00341548-n	reclinació	99.0
08103777-n	classe	99.0
03731164-n	matalàs	99.0
07126383-n	gemec	99.0
07126383-n	gemegor	99.0
07126383-n	queixa	99.0
01681513-n	urosaurus	99.0
01681513-n	genus_urosaurus	99.0
09128372-n	Queen_City	99.0
02848216-n	fulla	99.0
11171614-n	Lise_Meitner	99.0
03485407-n	ordinador_de_mà	99.0
02684971-a	celeste	99.0
02684971-a	celestial	99.0
03896103-n	vaixell_de_passatgers	99.0
03896103-n	nau_de_passatge	99.0
08378555-n	estructura_de_classes	99.0
08378555-n	classisme	99.0
05518870-n	tub_uterí	99.0
05518870-n	oviducte	99.0
00126236-n	topada	99.0
00126236-n	xoc	99.0
15002546-n	ràfia	99.0
80001097-n	colquicina	99.0
07813324-n	sal_d'api	99.0
13894434-n	bony	99.0
13894434-n	protuberància	99.0
13894434-n	prominència	99.0
10246176-n	paisatgista	99.0
06321932-n	adjectiu_qualificatiu	99.0
00042541-n	lliurament	99.0
06412497-n	best_seller	99.0
10065643-n	etnògraf	99.0
01836953-n	genus_podargus	99.0
01836953-n	podargus	99.0
11684264-n	pericarp	99.0
11309958-n	Albert_Speer	99.0
06327870-n	segona_persona	99.0
01235769-v	topar	99.0
01235769-v	tossar	99.0
01307020-v	rampinar	99.0
01307020-v	rasclar	99.0
01307020-v	rastellar	99.0
07924366-n	suc_de_poma	99.0
07533877-n	aflicció	99.0
07533877-n	pesar	99.0
07533877-n	pena	99.0
07533877-n	dolor	99.0
06571639-n	Konqueror	99.0
10891981-n	Carles_I	99.0
10891981-n	Carlemany	99.0
06210791-n	llum	99.0
10074339-n	exterminador	99.0
02809491-n	testimoni	99.0
05545047-n	sutura_interparietal	99.0
01243102-a	abandonat	99.0
01243102-a	desert	99.0
01243102-a	desolat	99.0
02266677-v	malgastar	99.0
02951170-n	cànula	99.0
06054892-n	farmacologia	99.0
13746512-n	10	99.0
13746512-n	desena	99.0
13746512-n	deu	99.0
09885145-n	comprador	99.0
01251109-v	refregar	99.0
01171213-a	sa	99.0
01171213-a	bo	99.0
01171213-a	bé	99.0
05012272-n	entalpia	99.0
02333190-n	ratolí_de_bosc	99.0
02333190-n	ratolí_de_rostoll	99.0
09028062-n	Catalunya	99.0
05301526-n	glotis	99.0
07843775-n	producte_lacti	99.0
07843775-n	aliment_lacti	99.0
01375637-v	rajar	99.0
01777210-v	agradar	99.0
09570114-n	Faetó	99.0
10982450-n	Betty_Friedan	99.0
00287449-n	trot	99.0
02128873-v	presenciar	99.0
02128873-v	testimoniar	99.0
